caso,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
256_densa_D0_b,strassen,256,densa,D0,b,12356716,12356.7,0,true,data/matrix_output/256_densa_D0_b_strassen.txt
256_densa_D0_c,naive,256,densa,D0,c,172849,172.85,0,true,data/matrix_output/256_densa_D0_c_naive.txt
256_densa_D0_c,strassen,256,densa,D0,c,12228291,12228.3,0,true,data/matrix_output/256_densa_D0_c_strassen.txt
256_densa_D10_a,naive,256,densa,D10,a,172159,172.16,0,true,data/matrix_output/256_densa_D10_a_naive.txt
256_densa_D10_a,strassen,256,densa,D10,a,12060870,12060.9,0,true,data/matrix_output/256_densa_D10_a_strassen.txt
256_densa_D10_b,naive,256,densa,D10,b,174391,174.391,0,true,data/matrix_output/256_densa_D10_b_naive.txt
256_densa_D10_b,strassen,256,densa,D10,b,11942171,11942.2,0,true,data/matrix_output/256_densa_D10_b_strassen.txt
256_densa_D10_c,naive,256,densa,D10,c,166814,166.815,0,true,data/matrix_output/256_densa_D10_c_naive.txt
256_densa_D10_c,strassen,256,densa,D10,c,11964118,11964.1,0,true,data/matrix_output/256_densa_D10_c_strassen.txt
256_diagonal_D0_a,naive,256,diagonal,D0,a,164664,164.665,0,true,data/matrix_output/256_diagonal_D0_a_naive.txt
256_diagonal_D0_a,strassen,256,diagonal,D0,a,12161869,12161.9,0,true,data/matrix_output/256_diagonal_D0_a_strassen.txt
256_diagonal_D0_b,naive,256,diagonal,D0,b,168357,168.357,0,true,data/matrix_output/256_diagonal_D0_b_naive.txt
256_diagonal_D0_b,strassen,256,diagonal,D0,b,12299417,12299.4,0,true,data/matrix_output/256_diagonal_D0_b_strassen.txt
256_diagonal_D0_c,naive,256,diagonal,D0,c,173628,173.629,0,true,data/matrix_output/256_diagonal_D0_c_naive.txt
256_diagonal_D0_c,strassen,256,diagonal,D0,c,12492034,12492,0,true,data/matrix_output/256_diagonal_D0_c_strassen.txt
256_diagonal_D10_a,naive,256,diagonal,D10,a,166267,166.268,0,true,data/matrix_output/256_diagonal_D10_a_naive.txt
256_diagonal_D10_a,strassen,256,diagonal,D10,a,12015774,12015.8,0,true,data/matrix_output/256_diagonal_D10_a_strassen.txt
256_diagonal_D10_b,naive,256,diagonal,D10,b,165263,165.264,0,true,data/matrix_output/256_diagonal_D10_b_naive.txt
256_diagonal_D10_b,strassen,256,diagonal,D10,b,11997279,11997.3,0,true,data/matrix_output/256_diagonal_D10_b_strassen.txt
256_diagonal_D10_c,naive,256,diagonal,D10,c,164791,164.791,0,true,data/matrix_output/256_diagonal_D10_c_naive.txt
256_diagonal_D10_c,strassen,256,diagonal,D10,c,12041170,12041.2,0,true,data/matrix_output/256_diagonal_D10_c_strassen.txt
256_dispersa_D0_a,naive,256,dispersa,D0,a,164620,164.62,0,true,data/matrix_output/256_dispersa_D0_a_naive.txt
256_dispersa_D0_a,strassen,256,dispersa,D0,a,12009354,12009.4,0,true,data/matrix_output/256_dispersa_D0_a_strassen.txt
256_dispersa_D0_b,naive,256,dispersa,D0,b,165803,165.803,0,true,data/matrix_output/256_dispersa_D0_b_naive.txt
256_dispersa_D0_b,strassen,256,dispersa,D0,b,11987965,11988,0,true,data/matrix_output/256_dispersa_D0_b_strassen.txt
256_dispersa_D0_c,naive,256,dispersa,D0,c,179757,179.758,0,true,data/matrix_output/256_dispersa_D0_c_naive.txt
256_dispersa_D0_c,strassen,256,dispersa,D0,c,12328856,12328.9,0,true,data/matrix_output/256_dispersa_D0_c_strassen.txt
256_dispersa_D10_a,naive,256,dispersa,D10,a,167754,167.755,0,true,data/matrix_output/256_dispersa_D10_a_naive.txt
256_dispersa_D10_a,strassen,256,dispersa,D10,a,12169478,12169.5,0,true,data/matrix_output/256_dispersa_D10_a_strassen.txt
256_dispersa_D10_b,naive,256,dispersa,D10,b,171060,171.061,0,true,data/matrix_output/256_dispersa_D10_b_naive.txt
256_dispersa_D10_b,strassen,256,dispersa,D10,b,12202907,12202.9,0,true,data/matrix_output/256_dispersa_D10_b_strassen.txt
256_dispersa_D10_c,naive,256,dispersa,D10,c,164935,164.936,0,true,data/matrix_output/256_dispersa_D10_c_naive.txt
256_dispersa_D10_c,strassen,256,dispersa,D10,c,12000073,12000.1,0,true,data/matrix_output/256_dispersa_D10_c_strassen.txt
