archivo_entrada,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
10_descendente_D7_a.txt,stdsort,10,descendente,D7,a,10,0.010019,0,true,data/array_output/10_descendente_D7_a_stdsort.txt
10_descendente_D7_b.txt,merge,10,descendente,D7,b,17,0.017814,0,true,data/array_output/10_descendente_D7_b_merge.txt
10_descendente_D7_b.txt,quick,10,descendente,D7,b,2,0.002878,0,true,data/array_output/10_descendente_D7_b_quick.txt
10_descendente_D7_b.txt,patience,10,descendente,D7,b,27,0.027276,0,true,data/array_output/10_descendente_D7_b_patience.txt
10_descendente_D7_b.txt,stdsort,10,descendente,D7,b,10,0.010938,0,true,data/array_output/10_descendente_D7_b_stdsort.txt
10_descendente_D7_c.txt,merge,10,descendente,D7,c,18,0.018437,0,true,data/array_output/10_descendente_D7_c_merge.txt
10_descendente_D7_c.txt,quick,10,descendente,D7,c,8,0.008039,0,true,data/array_output/10_descendente_D7_c_quick.txt
10_descendente_D7_c.txt,patience,10,descendente,D7,c,38,0.038416,0,true,data/array_output/10_descendente_D7_c_patience.txt
10_descendente_D7_c.txt,stdsort,10,descendente,D7,c,9,0.009746,0,true,data/array_output/10_descendente_D7_c_stdsort.txt
1000_aleatorio_D1_a.txt,merge,1000,aleatorio,D1,a,1897,1.89747,0,true,data/array_output/1000_aleatorio_D1_a_merge.txt
1000_aleatorio_D1_a.txt,quick,1000,aleatorio,D1,a,1954,1.95424,0,true,data/array_output/1000_aleatorio_D1_a_quick.txt
1000_aleatorio_D1_a.txt,patience,1000,aleatorio,D1,a,2683,2.68349,0,true,data/array_output/1000_aleatorio_D1_a_patience.txt
1000_aleatorio_D1_a.txt,stdsort,1000,aleatorio,D1,a,411,0.41102,0,true,data/array_output/1000_aleatorio_D1_a_stdsort.txt
1000_aleatorio_D1_b.txt,merge,1000,aleatorio,D1,b,2309,2.3091,0,true,data/array_output/1000_aleatorio_D1_b_merge.txt
1000_aleatorio_D1_b.txt,quick,1000,aleatorio,D1,b,3495,3.4959,0,true,data/array_output/1000_aleatorio_D1_b_quick.txt
